code,category,year_end,net_profit,num_share,price,name,ROI
7077,Property,31/03/18,-2426,528039,0.095,GSB GROUP BERHAD,-4.84
5102,Consumer,31/12/18,189254,477862,2.75,GUAN CHONG BERHAD,14.4
3247,Industrial Products,31/12/18,-2681,274362,0.45,GUH HOLDINGS BERHAD,-2.17
7676,Transportation&Logistics,31/12/18,-214,236179,0.29,GUNUNG CAPITAL BERHAD,-0.31
1503,Property,30/06/18,37222,669880,0.88,GUOCOLAND (MALAYSIA) BERHAD,6.31
7668,Consumer,30/04/18,74828,290495,4.96,HAI-O ENTERPRISE BERHAD,5.19
5151,Industrial Products,31/12/18,-11135,105973,0.75,HALEX HOLDINGS BERHAD,-14.01
7253,Energy,31/12/17,-2367,159690,0.23,HANDAL RESOURCES BERHAD,-6.44
3034,Industrial Products,31/12/18,1145608,2489673,9.85,HAP SENG CONSOLIDATED BERHAD,4.67
5138,Plantations,31/12/18,29109,799688,1.64,HAP SENG PLANTATIONS HOLDINGS BERHAD,2.22
2062,Transportation&Logistics,30/06/18,35920,400400,0.71,HARBOUR-LINK GROUP BERHAD,12.64
7501,Plantations,31/12/18,-21172,173219,0.34,HARN LEN CORPORATION BHD,-35.95
5008,Consumer,31/12/18,22470,68476,3.5,HARRISONS HOLDINGS (MALAYSIA) BERHAD,9.38
5168,Health Care,31/03/18,439395,3306247,6.05,HARTALEGA HOLDINGS BERHAD,2.2
5187,Consumer,31/12/18,11064,468000,0.055,HB GLOBAL LIMITED,42.98
7105,Property,31/12/18,6641,421223,1.26,HCK CAPITAL GROUP BERHAD,1.25
3255,Consumer,31/12/18,282522,302097,20.46,HEINEKEN MALAYSIA BERHAD,4.57
5028,Technology,31/12/18,-29175,101225,0.425,HEITECH PADU BERHAD,-67.82
5121,REITS,31/12/18,33129,461960,1.11,HEKTAR REAL ESTATE INVESTMENT TRUST,6.46
4324,Energy,31/12/18,30842,300019,4.66,HENGYUAN REFINING COMPANY BERHAD,2.21
5095,Industrial Products,31/12/18,16658,559803,0.61,HEVEABOARD BERHAD,4.88
3298,Industrial Products,30/06/18,-19962,200380,0.66,HEXZA CORPORATION BERHAD,-15.09
5072,Industrial Products,31/07/18,27946,1331533,0.38,HIAP TECK VENTURE BERHAD,5.52
5199,Energy,30/06/18,203712,1588228,0.885,HIBISCUS PETROLEUM BERHAD,14.49
8443,Industrial Products,31/12/18,17055,331941,0.54,HIL INDUSTRIES BERHAD,9.51
5169,Construction,31/12/18,27395,374874,0.315,HO HUP CONSTRUCTION COMPANY BHD,23.2
9601,Industrial Products,31/12/18,-33053,306750,0.105,HO WAH GENTING BERHAD,-102.62
5165,Industrial Products,31/12/18,136,79961,0.475,HOCK HENG STONE INDUSTRIES BHD,0.36
6238,Construction,31/12/18,53752,549517,1.35,HOCK SENG LEE BERHAD,7.25
5160,Consumer,31/08/18,21068,300010,0.705,HOMERITZ CORPORATION BERHAD,9.96
5819,Finance,30/06/18,2638078,2045677,18.2,HONG LEONG BANK BERHAD,7.09
5274,Finance,30/06/18,71322,241283,9.79,HONG LEONG CAPITAL BERHAD,3.02
1082,Finance,30/06/18,1907442,1144495,18.0,HONG LEONG FINANCIAL GROUP BERHAD,9.26
3301,Consumer,30/06/18,334593,312420,11.36,HONG LEONG INDUSTRIES BERHAD,9.43
0185,Industrial Products,31/12/18,-102600,464959,0.86,HSS ENGINEERS BERHAD,-25.66
5062,Property,31/03/18,4411,352000,0.495,HUA YANG BERHAD,2.53
7013,Transportation&Logistics,30/09/18,-4198,2362094,0.055,HUBLINE BERHAD,-3.23
5000,Industrial Products,30/06/18,-54870,479093,1.08,HUME INDUSTRIES BERHAD,-10.6
5024,Consumer,31/12/18,42959,800000,0.95,HUP SENG INDUSTRIES BERHAD,5.65
8478,Consumer,31/12/18,-4246,74833,0.3,HWA TAI INDUSTRIES BERHAD,-18.91
4251,Property,31/12/18,58793,1061314,0.38,I-BERHAD,14.58
5084,Property,31/12/18,30138,496405,0.595,IBRACO BERHAD,10.2
5108,Closed&Fund,31/05/18,8902,140000,2.59,ICAPITAL.BIZ BERHAD,2.46
5255,Energy,31/12/18,-439967,1177185,0.07,ICON OFFSHORE BERHAD,-533.92
9687,Property,31/12/18,50853,110468,1.09,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,42.23
5606,Property,31/12/18,235643,668769,2.48,IGB BERHAD,14.21
5227,REITS,31/12/18,333753,3525443,1.73,IGB REAL ESTATE INVESTMENT TRUST,5.47
5225,Health Care,31/12/18,627687,8427236,5.39,IHH HEALTHCARE BERHAD,1.38
3336,Construction,31/03/18,349809,3628640,2.68,IJM CORPORATION BERHAD,3.6
2216,Plantations,31/03/18,46645,880580,2.2,IJM PLANTATIONS BERHAD,2.41
5268,Construction,31/12/18,-26931,543331,0.1,IKHMAS JAYA GROUP BERHAD,-49.57
7222,Industrial Products,30/06/18,5734,80000,1.9,IMASPRO CORPORATION BERHAD,3.77
0166,Technology,30/06/18,249266,3175857,2.26,INARI AMERTRON BERHAD,3.47
2607,Plantations,31/12/18,-11395,387209,0.675,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,-4.36
9393,Technology,31/12/18,-2508,102762,0.085,INDUSTRONICS BERHAD,-28.71
6262,Plantations,31/12/18,10185,478857,0.61,INNOPRISE PLANTATIONS BERHAD,3.49
3379,Finance,30/06/18,90517,663007,0.875,INSAS BERHAD,15.6
0192,Construction,31/12/18,21200,535259,0.28,INTA BINA GROUP BERHAD,14.15
5614,Transportation&Logistics,31/12/18,-98285,189526,0.465,INTEGRATED LOGISTICS BHD,-111.52
1961,Plantations,30/06/18,3060500,6284398,4.54,IOI CORPORATION BERHAD,10.73
5249,Property,30/06/18,783631,5506145,1.6,IOI PROPERTIES GROUP BERHAD,8.89
5673,Industrial Products,30/06/18,-37709,72469,0.87,IPMUDA BERHAD,-59.81
5107,Consumer,31/03/18,-317,88028,1.42,IQ GROUP HOLDINGS BERHAD,-0.25
7183,Industrial Products,31/12/17,-17257,138142,0.15,IRE-TEX CORPORATION BERHAD,-83.28
8834,Construction,31/03/18,5829,186708,0.645,IREKA CORPORATION BERHAD,4.84
1589,Property,31/12/18,-6604,835949,0.42,ISKANDAR WATERFRONT CITY BERHAD,-1.88
5175,Property,31/03/18,10505,490079,0.27,IVORY PROPERTIES GROUP BERHAD,7.94
7223,Consumer,31/03/18,-9751,941700,0.055,JADI IMAGING HOLDINGS BERHAD,-18.83
4723,Construction,31/12/18,15131,533364,0.48,JAKS RESOURCES BERHAD,5.91
8648,Industrial Products,31/03/18,-4033,449550,0.13,JASA KITA BERHAD,-6.9
4383,Plantations,30/06/18,-26798,967991,0.67,JAYA TIASA HOLDINGS BHD,-4.13
7152,Consumer,31/07/18,10286,136506,0.87,JAYCORP BERHAD,8.66
0058,Industrial Products,31/12/18,10030,137898,1.48,JCBNEXT BERHAD,4.91
5161,Technology,30/09/18,-120747,2060912,0.275,JCY INTERNATIONAL BERHAD,-21.31
8931,Consumer,30/06/18,5556,82046,0.41,JERASIA CAPITAL BERHAD,16.52
8923,Property,31/12/18,815,166845,0.36,JIANKUN INTERNATIONAL BERHAD,1.36
6769,Property,31/01/18,14800,2274930,0.095,JKG LAND BERHAD,6.85
7043,Industrial Products,31/03/18,-3112,126784,1.0,JMR CONGLOMERATION BERHAD,-2.45
3441,Finance,31/01/18,-22345,622948,0.315,JOHAN HOLDINGS BERHAD,-11.39
7167,Consumer,31/12/18,38537,310473,0.96,JOHORE TIN BERHAD,12.93
5172,Consumer,31/12/18,-40504,380952,0.085,K-STAR SPORTS LIMITED,-125.09
5192,Industrial Products,31/12/18,954,96000,0.3,K.SENG SENG CORPORATION BERHAD,3.31
8672,Consumer,31/03/18,3264,197990,0.35,KAMDAR GROUP (M) BERHAD,4.71
3115,Property,31/03/18,44924,5776587,0.08,KARAMBUNAI CORP BHD,9.72
5247,Consumer,30/06/18,10103,1002375,0.82,KAREX BERHAD,1.23
0054,Industrial Products,31/03/18,10834,475713,0.175,KARYON INDUSTRIES BERHAD,13.01
7216,Consumer,31/12/18,23432,359519,1.91,KAWAN FOOD BERHAD,3.41
3476,Industrial Products,31/12/18,40361,359314,4.08,KECK SENG (MALAYSIA) BERHAD,2.75
7199,Industrial Products,30/04/18,1753,108900,0.5,KEIN HING INTERNATIONAL BERHAD,3.22
0151,Industrial Products,31/12/18,18458,262135,1.12,KELINGTON GROUP BERHAD,6.29
7323,Property,31/12/18,24063,179337,0.63,KEN HOLDINGS BERHAD,21.3
6483,Finance,31/12/18,11911,712368,0.6,KENANGA INVESTMENT BANK BERHAD,2.79
7161,Construction,31/12/18,138415,1237777,1.15,KERJAYA PROSPEK GROUP BERHAD,9.72
9334,Technology,31/07/18,39338,43014,17.0,KESM INDUSTRIES BERHAD,5.38
0143,Technology,31/05/18,3608,890569,0.135,KEY ASIC BERHAD,3.0
6203,Consumer,31/12/18,6070,104000,0.59,KHEE SAN BERHAD,9.89
7062,Consumer,31/12/18,1578,40059,1.69,KHIND HOLDINGS BERHAD,2.33
6211,Industrial Products,31/12/18,-6121,61938,0.22,KIA LIM BERHAD,-44.92
3522,Industrial Products,31/12/18,17257,444167,2.64,KIAN JOO CAN FACTORY BERHAD,1.47
5371,Industrial Products,31/12/18,-59158,140251,1.24,KIM HIN INDUSTRY BERHAD,-34.02
5027,Plantations,31/01/18,99059,311202,4.18,KIM LOONG RESOURCES BERHAD,7.62
5171,Construction,31/12/18,61139,331871,1.08,KIMLUN CORPORATION BERHAD,17.06
5060,Industrial Products,30/06/18,-94681,1041604,0.005,KINSTEEL BHD,-1817.98
5280,REITS,30/06/18,37610,505300,0.8,KIP REAL ESTATE INVESTMENT TRUST,9.3
9466,Industrial Products,31/12/18,17644,257792,0.875,KKB ENGINEERING BERHAD,7.82
5235SS,REITS,31/12/18,724914,1805333,7.66,KLUANG RUBBER COMPANY (MALAYA) BERHAD,5.24
5035,Industrial Products,31/12/18,-29192,99645,0.5,KNUSFORD BERHAD,-58.59
6971,Industrial Products,30/06/18,13184,102056,1.0,KOBAY TECHNOLOGY BERHAD,12.92
7017,Industrial Products,30/04/18,-21512,161394,0.175,KOMARKCORP BERHAD,-76.16
4847,Consumer,31/12/18,-36483,402798,0.055,KONSORTIUM TRANSNASIONAL BERHAD,-164.68
7153,Health Care,31/12/18,200784,1278936,4.34,KOSSAN RUBBER INDUSTRIES BERHAD,3.62
0002,Health Care,30/06/18,15749,132943,1.82,KOTRA INDUSTRIES BERHAD,6.51
5878,Health Care,31/12/18,179444,4355011,1.04,KPJ HEALTHCARE BERHAD,3.96
9121,Industrial Products,31/12/18,10473,147827,0.48,KPS CONSORTIUM BERHAD,14.76
1996,Plantations,31/12/18,-29311,2327627,0.41,KRETAM HOLDINGS BERHAD,-3.07
5038,Property,31/12/18,224091,1017216,0.71,KSL HOLDINGS BERHAD,31.03
2445,Plantations,30/09/18,753328,1064965,24.96,KUALA LUMPUR KEPONG BERHAD,2.83
8303,Consumer,30/09/18,-2901,68229,0.11,KUANTAN FLOUR MILLS BHD,-38.65
6874,Industrial Products,31/12/18,1177,556465,0.235,KUB MALAYSIA BERHAD,0.9
2186,Finance,30/06/18,51828,123747,2.15,KUCHAI DEVELOPMENT BERHAD,19.48
6491,Industrial Products,31/03/18,31537,282084,1.49,KUMPULAN FIMA BERHAD,7.5
7033,Industrial Products,31/10/18,3565,36577,1.51,KUMPULAN H & L HIGH-TECH BERHAD,6.45
9083,Industrial Products,31/12/18,-9348,207896,0.2,KUMPULAN JETSON BERHAD,-22.48
5843,Utilities,31/12/18,-205623,537385,1.21,KUMPULAN PERANGSANG SELANGOR BERHAD,-31.62
7130,Consumer,30/06/18,-4959,76149,0.45,KUMPULAN POWERNET BERHAD,-14.47
6572,Plantations,30/06/18,-50072,311677,1.32,KWANTAS CORPORATION BERHAD,-12.17
8362,Industrial Products,31/01/18,-919,149889,0.485,KYM HOLDINGS BERHAD,-1.26
3794,Industrial Products,31/12/18,-319351,849695,1.81,LAFARGE MALAYSIA BERHAD,-20.76
3174,Property,31/03/18,75409,2929841,0.175,LAND & GENERAL BERHAD,14.71
1643,Consumer,31/12/18,-37397,528890,0.455,LANDMARKS BERHAD,-15.54
7006,Consumer,30/06/18,12141,97207,3.44,LATITUDE TREE HOLDINGS BERHAD,3.63
9385,Consumer,31/03/18,37697,612959,0.96,LAY HONG BERHAD,6.41
9326,Industrial Products,30/04/18,6097,248486,0.59,LB ALUMINIUM BERHAD,4.16
8494,Property,31/12/18,3243,77195,0.72,LBI CAPITAL BERHAD,5.83
5789,Property,31/12/18,85110,1547454,0.64,LBS BINA GROUP BERHAD,8.59
9881,Industrial Products,31/12/18,4882,126890,0.25,LEADER STEEL HOLDINGS BERHAD,15.39
9628,Construction,31/12/18,106,136484,0.905,LEBTECH BERHAD,0.09
8079,Consumer,31/12/18,10256,163128,0.85,LEE SWEE KIAT GROUP BERHAD,7.4
5232,Industrial Products,31/12/18,26100,310000,0.485,LEON FUAT BERHAD,17.36
8745,Industrial Products,30/06/18,-3794,321893,0.235,LEWEKO RESOURCES BERHAD,-5.02
7170,Industrial Products,31/12/18,-10572,185320,0.1,LFE CORPORATION BERHAD,-57.05
3573,Property,31/12/18,-35538,341011,0.3,LIEN HOE CORPORATION BERHAD,-34.74
7089,Consumer,31/12/18,57789,180000,2.6,LII HEN INDUSTRIES BHD.,12.35
6645,Transportation&Logistics,31/03/18,228554,527949,5.69,LINGKARAN TRANS KOTA HOLDINGS BERHAD,7.61
8486,Industrial Products,30/06/18,19228,227827,0.525,LION FOREST INDUSTRIES BERHAD,16.08
4235,Industrial Products,30/06/18,172629,680804,0.86,LION INDUSTRIES CORPORATION BERHAD,29.48
7126,Consumer,30/09/18,13896,194164,0.55,LONDON BISCUITS BERHAD,13.01
5284,Industrial Products,31/12/18,786234,2272984,4.62,LOTTE CHEMICAL TITAN HOLDING BERHAD,7.49
8621,Finance,31/12/18,314049,398383,15.74,LPI CAPITAL BHD,5.01
7085,Consumer,31/03/18,3239,130104,1.0,LTKM BERHAD,2.49
5068,Industrial Products,31/12/18,12652,1976035,0.075,LUSTER INDUSTRIES BHD.,8.54
5143,Industrial Products,31/12/18,37977,855857,0.52,LUXCHEM CORPORATION BERHAD,8.53
9199,Industrial Products,31/12/18,9301,41580,2.5,LYSAGHT GALVANIZED STEEL BERHAD,8.95
1198,Finance,31/12/18,-27457,273518,0.495,MAA GROUP BERHAD,-20.28
7617,Property,31/12/18,-53656,332012,0.935,MAGNA PRIMA BERHAD,-17.28
7087,Consumer,30/04/18,91367,162732,4.51,MAGNI-TECH INDUSTRIES BERHAD,12.45
3859,Consumer,31/12/18,104749,1422955,1.95,MAGNUM BERHAD,3.78
8583,Property,31/12/18,271582,2427687,0.915,MAH SING GROUP BERHAD,12.23
8141,Property,31/12/18,3059,257052,0.215,MAJUPERAK HOLDINGS BERHAD,5.54
5264,Utilities,31/12/18,274433,4919300,0.8,MALAKOFF CORPORATION BERHAD,6.97
1155,Finance,31/12/18,8113260,11049683,9.5,MALAYAN BANKING BERHAD,7.73
3662,Consumer,31/12/18,17776,550285,0.48,MALAYAN FLOUR MILLS BERHAD,6.73
3891,Consumer,30/06/18,-60548,2932561,0.175,MALAYAN UNITED INDUSTRIES BERHAD,-11.8
5014,Transportation&Logistics,31/12/18,727303,1801592,8.38,MALAYSIA AIRPORTS HOLDINGS BERHAD,4.82
1171,Finance,31/12/18,642400,6224806,0.92,MALAYSIA BUILDING SOCIETY BERHAD,11.22
5186,Energy,31/12/18,-122691,1600000,0.545,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,-14.07
6548,Property,30/06/18,-2165,287660,0.045,MALAYSIA PACIFIC CORPORATION BERHAD,-16.72
5916,Industrial Products,31/12/18,34297,400000,0.7,MALAYSIA SMELTING CORPORATION BERHAD,12.25
5098,Industrial Products,31/12/18,6705,425491,0.385,MALAYSIA STEEL WORKS (KL) BHD,4.09
5077,Transportation&Logistics,31/12/18,263838,1000000,0.56,MALAYSIAN BULK CARRIERS BERHAD,47.11
3867,Technology,30/06/18,142464,190006,10.24,MALAYSIAN PACIFIC INDUSTRIES BERHAD,7.32
1651,Property,31/12/18,101167,4390773,0.615,MALAYSIAN RESOURCES CORPORATION BERHAD,3.75
4936,Plantations,30/06/18,-3405,75000,1.0,MALPAC HOLDINGS BERHAD,-4.54
6181,Property,30/06/18,56482,528140,0.5,MALTON BERHAD,21.39
1058,Finance,31/12/18,26251,202370,2.5,MANULIFE HOLDINGS BERHAD,5.19
3514,Consumer,31/12/18,14111,1054307,0.12,MARCO HOLDINGS BERHAD,11.15
5078,Transportation&Logistics,31/12/17,153521,723879,0.19,MARINE & GENERAL BERHAD,111.62
7029,Industrial Products,31/12/18,5755,54620,0.575,MASTER-PACK GROUP BERHAD,18.32
5236,Property,31/03/18,211832,746105,1.99,MATRIX CONCEPTS HOLDINGS BERHAD,14.27
6012,Telco&Media,31/12/18,1780000,7814000,5.35,MAXIS BERHAD,4.26
5189,Consumer,31/12/17,-142426,398860,0.015,MAXWELL INTERNATIONAL HOLDINGS BERHAD,-2380.55
7189,Property,31/12/18,50871,157377,1.72,MB WORLD GROUP BERHAD,18.79
5983,Consumer,31/12/18,165548,390887,2.2,MBM RESOURCES BHD,19.25
7004,Industrial Products,31/07/18,-1907,44405,0.755,MCE HOLDINGS BERHAD,-5.69
5182,Property,31/12/18,56884,1456995,0.745,MCT BERHAD,5.24
5040,Property,31/12/18,-23088,492555,0.295,MEDA INC. BERHAD,-15.89
5090,Telco&Media,31/03/18,-44368,1687236,0.365,MEDIA CHINESE INTERNATIONAL LIMITED,-7.2
4502,Telco&Media,31/12/18,58623,1109199,0.345,MEDIA PRIMA BERHAD,15.32
3069,Utilities,31/12/18,129266,393646,3.1,MEGA FIRST CORPORATION BERHAD,10.59
5129,Construction,31/08/18,2413,119184,0.62,MELATI EHSAN HOLDINGS BERHAD,3.27
3778,Industrial Products,30/06/18,-626,225523,0.185,MELEWAR INDUSTRIAL GROUP BERHAD,-1.5
1694,Property,30/06/18,13642,480792,0.44,MENANG CORPORATION (M) BERHAD,6.45
5223,Industrial Products,31/12/18,3732,70000,0.46,MENTIGA CORPORATION BERHAD,11.59
8192,Construction,31/12/18,1483,40182,0.9,MERCURY INDUSTRIES BERHAD,4.1
5006,Construction,31/03/18,-10108,67000,0.285,MERGE ENERGY BHD,-52.94
7234,Consumer,31/03/18,-5907,81900,0.39,MESB BERHAD,-18.49
5011,Technology,31/12/18,-8688,60402,1.15,MESINIAGA BERHAD,-12.51
6149,Industrial Products,31/12/18,9100,120000,1.54,METROD HOLDINGS BERHAD,4.92
0043,Industrial Products,30/06/18,-4215,962737,0.04,METRONIC GLOBAL BERHAD,-10.95
7595,Construction,31/12/18,31715,496854,0.7,MGB BERHAD,9.12
5026,Plantations,31/12/18,4401,196544,0.66,MHC PLANTATIONS BHD,3.39
5286,Technology,31/12/18,44294,500000,2.24,MI TECHNOVATION BERHAD,3.95
5001,Industrial Products,31/12/18,-60583,525000,0.25,MIECO CHIPBOARD BERHAD,-46.16
7935,Consumer,31/12/18,-2075,54411,0.635,MILUX CORPORATION BERHAD,-6.01
5166,Consumer,31/12/18,-17168,1239905,0.055,MINDA GLOBAL BERHAD,-25.17
7219,Industrial Products,31/03/18,-2691,730480,0.105,MINETECH RESOURCES BERHAD,-3.51
5576,Industrial Products,31/12/18,11845,340538,0.275,MINHO (M) BERHAD,12.65
5886,Consumer,31/01/18,1428,60800,0.99,MINTYE BERHAD,2.37
3816,Transportation&Logistics,31/12/18,1311500,4463800,6.7,MISC BERHAD,4.39
9571,Construction,31/12/18,44569,891651,0.28,MITRAJAYA HOLDINGS BERHAD,17.85
8893,Property,30/06/18,24522,1204590,0.23,MK LAND HOLDINGS BERHAD,8.85
6114,Property,30/09/18,69027,582015,1.26,MKH BERHAD,9.41
2194,Transportation&Logistics,31/12/18,220080,3045100,0.83,MMC CORPORATION BERHAD,8.71
0113,Technology,31/12/18,8974,200760,0.69,MMS VENTURES BERHAD,6.48
6459,Finance,31/03/18,136787,319604,2.64,MNRB HOLDINGS BERHAD,16.21
5237,Finance,31/12/18,12441,715000,1.1,MPHB CAPITAL BERHAD,1.58
5123,REITS,31/12/18,73130,1071783,1.06,MRCB-QUILL REIT,6.44
5202,Consumer,31/12/18,35624,702980,2.6,MSM MALAYSIA HOLDINGS BERHAD,1.95
5924,Construction,31/03/18,7073,230996,0.23,MTD ACPI ENGINEERING BERHAD,13.31
5152,Industrial Products,31/12/18,12991,99675,1.01,MUAR BAN LEE GROUP BERHAD,12.9
3883,Industrial Products,31/12/18,77534,305051,1.79,MUDA HOLDINGS BERHAD,14.2
5085,Construction,31/12/18,-396238,591573,0.29,MUDAJAYA GROUP BERHAD,-230.97
5703,Construction,31/12/18,144800,480743,2.79,MUHIBBAH ENGINEERING (M) BHD,10.8
3913,Property,30/06/18,2927,740915,0.26,MUI PROPERTIES BERHAD,1.52
3905,Consumer,31/12/18,235699,319461,1.75,MULPHA INTERNATIONAL BERHAD,42.16
5150,Consumer,31/12/18,-326,606841,0.015,MULTI SPORTS HOLDINGS LTD,-3.58
9539,Property,30/06/18,-5997,56419,0.45,MULTI-USAGE HOLDINGS BERHAD,-23.62
0138,Technology,30/09/18,129017,3552306,1.75,MY E.G. SERVICES BERHAD,2.08
5087,Industrial Products,30/06/18,16101,283545,0.385,MYCRON STEEL BERHAD,14.75
5275,Consumer,31/10/18,26504,681336,1.45,MYNEWS HOLDINGS BERHAD,2.68
5073,Property,31/12/18,64664,236944,0.445,NAIM HOLDINGS BERHAD,61.33
9806,Transportation&Logistics,31/03/18,-10772,120232,0.43,NATIONWIDE EXPRESS HOLDINGS BERHAD,-20.84
2038,Plantations,31/12/18,-1687,70202,3.15,NEGRI SEMBILAN OIL PALMS BERHAD,-0.76
4707,Consumer,31/12/18,658882,234500,147.4,NESTLE (MALAYSIA) BERHAD,1.91
7060,Consumer,31/12/18,14008,82672,2.7,NEW HOONG FATT HOLDINGS BERHAD,6.28
7241,Industrial Products,30/06/18,-1771,434134,0.35,NEXTGREEN GLOBAL BERHAD,-1.17
7215,Consumer,31/12/18,2167,291148,0.25,NI HSIN RESOURCES BERHAD,2.98
7139,Consumer,30/06/18,946,333037,0.04,NICHE CAPITAL EMAS HOLDINGS BERHAD,7.1
0083,Technology,30/09/18,44731,332822,0.725,NOTION VTEC BERHAD,18.54
5047,Plantations,31/12/18,-44472,116874,1.83,NPC RESOURCES BERHAD,-20.79
5066,Consumer,30/04/18,29710,1123106,0.545,NTPM HOLDINGS BERHAD,4.85
5025,Industrial Products,31/08/18,-18007,392253,0.11,NWP HOLDINGS BERHAD,-41.73
4944,Industrial Products,31/05/18,19093,187758,0.63,NYLEX (MALAYSIA) BERHAD,16.14
5533,Consumer,31/12/18,-4986,103105,0.48,OCB BERHAD,-10.07
0049,Consumer,31/12/18,6078,222637,0.555,OCEANCASH PACIFIC BERHAD,4.92
0172,Telco&Media,31/12/18,24059,871472,0.425,OCK GROUP BERHAD,6.5
7071,Construction,31/12/18,-7004,292402,0.29,OCR GROUP BERHAD,-8.26
7140,Industrial Products,31/03/18,24617,163577,1.4,OKA CORPORATION BHD,10.75
3018,Consumer,31/12/18,8942,1023432,0.095,OLYMPIA INDUSTRIES BERHAD,9.2
9008,Technology,31/03/18,-120895,431075,0.455,OMESTI BERHAD,-61.64
5260,Consumer,30/06/18,6356,267100,0.875,ONLY WORLD GROUP HOLDINGS BERHAD,2.72
7107,Consumer,31/03/18,11201,240000,0.955,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,4.89
4006,Consumer,31/12/18,500893,620362,6.17,ORIENTAL HOLDINGS BERHAD,13.09
5827,Property,30/06/18,37921,154858,2.15,ORIENTAL INTEREST BERHAD,11.39
5065,Industrial Products,31/12/18,9396,74153,0.89,ORNAPAPER BERHAD,14.24
5053,Property,31/12/18,346053,2077148,0.87,OSK HOLDINGS BERHAD,19.15
7225,Industrial Products,30/06/18,-18111,1492804,0.055,P.A. RESOURCES BERHAD,-22.06
7095,Industrial Products,31/12/18,43142,384042,1.49,P.I.E. INDUSTRIAL BERHAD,7.54
6009,Finance,30/09/18,-12267,274859,1.05,PACIFIC & ORIENT BERHAD,-4.25
7052,Consumer,30/06/18,178258,657909,5.97,PADINI HOLDINGS BERHAD,4.54
4081,Consumer,30/06/18,-3148,708397,0.15,PAN MALAYSIA CORPORATION BERHAD,-2.96
1287,Consumer,30/06/18,-1305,928867,0.125,PAN MALAYSIA HOLDINGS BERHAD,-1.12
3719,Consumer,31/03/18,131016,60746,34.6,PANASONIC MANUFACTURING MALAYSIA BERHAD,6.23
0041,Technology,31/03/18,-30549,265485,0.275,PANPAGES BERHAD,-41.84
8419,Industrial Products,31/03/18,8744,294933,1.17,PANSAR BERHAD,2.53
